"행정구역별(1)","특성별(1)",특성별(2),2009,2011,2013,2015,2017,2019,2021
"행정구역별(1)","특성별(1)",특성별(2),인구 1인당 평균독서권수 (권),인구 1인당 평균독서권수 (권),인구 1인당 평균독서권수 (권),인구 1인당 평균독서권수 (권),인구 1인당 평균독서권수 (권),인구 1인당 평균독서권수 (권),인구 1인당 평균독서권수 (권)
"전국","전체",계,10.8,12.8,11.2,9.3,9.5,7.3,7.0
