name,author,publisher,date,production,hashtag
브라질에비가내리면스타벅스주식을사라,피터 나바로,이창식,2022년 04월 25일,"[‘숲(경제흐름)과나무(종목)’를함께보라!전쟁,전염병,기후,금리,환율,인플레이션…거시경제지표를이해하면변동성은기회다!]","[거시경제, 포트폴리오, 기술변화, GDP, 재정정책, 통화정책, 매크로투자, 리스크, 경기순환]"
늙는다는착각,엘렌 랭어,변용란,2022년 02월 04일,"[나이듦이아닌가능성에주목하는삶에관하여노화를젊음으로,질병을건강으로바꾸는가능성의심리학]","[교양심리, 노화, 젊음, 질병, 육체, 가능성, 의식, 집중]"
사랑의기술,에리히 프롬,황문수,2019년 09월 01일,[에리히프롬의마지막을함께한라이너풍크박사의《사랑의기술》50주년기념판에부치는글수록],"[진정한사랑, 성숙한사랑, 심리학, 정신분석학, 본성, 실존문제]"
기묘함속으로,총몇명 (원작),윤종문,2022년 04월 26일,[놀라운상상력의결정체!기묘한이야기를들어보시겠습니까?],"[애니메이션, 새로운설정, 다른결말, 미지의공간, 미스터리, 사건]"
노랜드,천선란,한겨레출판사,2022년 06월 22일,"[《천개의파랑》《어떤물질의사랑》《밤에찾아오는구원자》《나인》한국문학의빛나는별,천선란두번째소설집출간!외롭지않기위해외로워진사람들과이름없는땅에서자라난무섭고아름다운이야기]",[단편소설집]
나의히어로아카데미아33,Kohei Horikoshi,오경화,2022년 05월 30일,"[A반,그리고OFA.그들의만남이가져오는것은?!]","[SF판타지만화, 초능력]"
럭키드로우,드로우앤드류,다산북스,2022년 01월 25일,[좋아하는일로경제적·시간적·정신적자유를얻은상위1%밀레니얼프리워커의성장기“남을위해죽도록일하는대신지금부터는나를위해죽도록일하기로했다!”],"[자기관리, 처세, 경제적, 시간적, 정신적, 자유, 프리워커, 파이프라인]"
노이즈:생각의잡음,대니얼 카너먼,장진영,2022년 04월 29일,"[◆《생각에관한생각》대니얼카너먼10년만의신간◆“지난10년간읽은책가운데가장중요한책.그야말로걸작.”_앤절라더크워스,《그릿》저자]","[행동경제학, 형사사법제도, 결정, 판단, 모델, 존엄, 편향제거, 시스템]"
그리스로마신화28:트로이아여인들의비극,박시연,최우빈,2022년 05월 04일,"[믿고보는아울북의〈만화로읽는초등인문학,그리스로마신화〉]","[세계명작동화, 욕망, 사랑, 싸움, 역사, 교훈, 신]"
소워니놀이터의말랑말랑스퀴시,조윤성,시대인,2022년 07월 05일,"[소워니놀이터의띠부띠부종이놀이도안집3탄!!도안을코팅하고,가위로오리고,솜을넣고,양면테이프를붙이면말랑말랑스퀴시로즐기는띠부띠부종이놀이완성]","[집콕놀이, QR코드, 동영상, 집중력, 성취감]"
마법의비행,리처드 도킨스,이한음,2022년 06월 10일,[세계최고의지성이자과학의대중화를선도하는학자리처드도킨스가들려주는비행의진화],[]
