"구분별","분류별","제외별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"무직","응답자","음성통화/문자 제외","30분-1시간 미만","%","15.4","","","","","","","","","","",
"무직","응답자","음성통화/문자 제외","1-2시간 미만","%","16.9","","","","","","","","","","",
"무직","응답자","음성통화/문자 제외","2시간 이상","%","40.5","","","","","","","","","","",
"무직","응답자","음성통화/문자 제외","평균","분","105","","","","","","","","","","",
"100만원 미만","전체","음성통화 제외","사례수","명","","","","","850","878","","","","","",
"100만원 미만","전체","음성통화 제외","1시간 미만","%","","","","","80.7","73.8","","","","","",
"100만원 미만","전체","음성통화 제외","1-2시간 미만","%","","","","","8.9","8.6","","","","","",
"100만원 미만","전체","음성통화 제외","2-3시간 미만","%","","","","","4.6","5.6","","","","","",
"100만원 미만","전체","음성통화 제외","3-4시간 미만","%","","","","","2.9","5.3","","","","","",
"100만원 미만","전체","음성통화 제외","4시간이상","%","","","","","3","6.7","","","","","",
"100만원 미만","전체","음성통화 제외","평균","분","","","","","28.5","46.9","","","","","",
"100만원 미만","응답자","음성통화 제외","사례수","명","","203","196","230","287","425","305","354","302","457","436",
"100만원 미만","응답자","음성통화 제외","30분 미만","%","","15.5","24.6","","","","","","","","",
"100만원 미만","응답자","음성통화 제외","1시간 미만","%","","","","26.9","42.7","45.8","52.9","56.9","48.1","41.3","55.6",
"100만원 미만","응답자","음성통화 제외","30분-1시간 미만","%","","11.7","21","","","","","","","","",
"100만원 미만","응답자","음성통화 제외","1-2시간 미만","%","","40.7","37.3","26.4","26.3","17.8","20.8","17.3","14","14.4","11.4",
"100만원 미만","응답자","음성통화 제외","2-3시간 미만","%","","13.5","17.2","17.9","13.6","11.6","10.3","8.5","10.6","14","11",
"100만원 미만","응답자","음성통화 제외","3-4시간 미만","%","","","","6.8","8.6","10.9","8.2","10.1","14.8","12.8","10.4",
"100만원 미만","응답자","음성통화 제외","3시간 이상","%","","18.6","","","","","","","","","",
