"구분별","분류별","제외별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"대졸이상","응답자","음성통화/문자 제외","사례수","명","919","","","","","","","","","","",
"대졸이상","응답자","음성통화/문자 제외","30분 미만","%","20.7","","","","","","","","","","",
"대졸이상","응답자","음성통화/문자 제외","30분-1시간 미만","%","27.9","","","","","","","","","","",
"대졸이상","응답자","음성통화/문자 제외","1-2시간 미만","%","27.2","","","","","","","","","","",
"대졸이상","응답자","음성통화/문자 제외","2시간 이상","%","24.2","","","","","","","","","","",
"대졸이상","응답자","음성통화/문자 제외","평균","분","80","","","","","","","","","","",
"대학생/대학원생","전체","음성통화 제외","사례수","명","","","","","529","556","","","","","",
"대학생/대학원생","전체","음성통화 제외","1시간 미만","%","","","","","24.9","11.1","","","","","",
"대학생/대학원생","전체","음성통화 제외","1-2시간 미만","%","","","","","20.5","20.2","","","","","",
"대학생/대학원생","전체","음성통화 제외","2-3시간 미만","%","","","","","22.1","23.3","","","","","",
"대학생/대학원생","전체","음성통화 제외","3-4시간 미만","%","","","","","11.8","20","","","","","",
"대학생/대학원생","전체","음성통화 제외","4시간이상","%","","","","","20.7","25.3","","","","","",
"대학생/대학원생","전체","음성통화 제외","평균","분","","","","","135.8","164.7","","","","","",
"대학생/대학원생","응답자","음성통화 제외","사례수","명","","427","446","403","508","550","444","442","398","424","314",
"대학생/대학원생","응답자","음성통화 제외","30분 미만","%","","3.8",".9","","","","","","","","",
"대학생/대학원생","응답자","음성통화 제외","1시간 미만","%","","","","13.6","21.7","10.2","7.5","9.4","4.4","2.2","6.7",
"대학생/대학원생","응답자","음성통화 제외","30분-1시간 미만","%","","10.4","9.7","","","","","","","","",
"대학생/대학원생","응답자","음성통화 제외","1-2시간 미만","%","","31.4","55.8","26","21.4","20.4","33.3","25.4","12.3","15.6","12.9",
"대학생/대학원생","응답자","음성통화 제외","2-3시간 미만","%","","19","33.6","22.6","23","23.5","26.5","28.4","23","16.4","28",
"대학생/대학원생","응답자","음성통화 제외","3-4시간 미만","%","","","","10.1","12.3","20.2","11.2","19.1","24.9","18.2","20.4",
"대학생/대학원생","응답자","음성통화 제외","3시간 이상","%","","35.4","","","","","","","","","",
"대학생/대학원생","응답자","음성통화 제외","4시간이상","%","","","","27.7","21.6","25.5","21.6","17.7","35.3","47.7","31.9",
"대학생/대학원생","응답자","음성통화 제외","평균","분","","167.7","152.1","163.4","141.4","166.3","146.3","149","205.4","206.7","181.8",
"대학생/대학원생","응답자","음성통화/문자 제외","사례수","명","289","","","","","","","","","","",
"대학생/대학원생","응답자","음성통화/문자 제외","30분 미만","%","7.2","","","","","","","","","","",
"대학생/대학원생","응답자","음성통화/문자 제외","30분-1시간 미만","%","20.7","","","","","","","","","","",
"대학생/대학원생","응답자","음성통화/문자 제외","1-2시간 미만","%","30","","","","","","","","","","",
"대학생/대학원생","응답자","음성통화/문자 제외","2시간 이상","%","42.2","","","","","","","","","","",
"대학생/대학원생","응답자","음성통화/문자 제외","평균","분","120.7","","","","","","","","","","",
"무응답","응답자","음성통화 제외","4시간이상","%","","","","","","","","0","","","",
"무응답","응답자","음성통화/문자 제외","사례수","명","2","","","","","","","","","","",
"무응답","응답자","음성통화/문자 제외","30분 미만","%","0","","","","","","","","","","",
"무응답","응답자","음성통화/문자 제외","30분-1시간 미만","%","24.6","","","","","","","","","","",
"무응답","응답자","음성통화/문자 제외","1-2시간 미만","%","75.4","","","","","","","","","","",
"무응답","응답자","음성통화/문자 제외","2시간 이상","%","0","","","","","","","","","","",
"무응답","응답자","음성통화/문자 제외","평균","분","62.6","","","","","","","","","","",
"아파트","전체","음성통화 제외","사례수","명","","","","","3763","3927","","","","","",
"아파트","전체","음성통화 제외","1시간 미만","%","","","","","40.2","38.4","","","","","",
"아파트","전체","음성통화 제외","1-2시간 미만","%","","","","","25.4","26.9","","","","","",
"아파트","전체","음성통화 제외","2-3시간 미만","%","","","","","16.4","15.4","","","","","",
"아파트","전체","음성통화 제외","3-4시간 미만","%","","","","","7.3","8.8","","","","","",
"아파트","전체","음성통화 제외","4시간이상","%","","","","","10.6","10.4","","","","","",
"아파트","전체","음성통화 제외","평균","분","","","","","91.8","93.7","","","","","",
"아파트","응답자","음성통화 제외","사례수","명","","2057","2552","2730","3317","3588","3777","3595","3332","3277","3534",
"아파트","응답자","음성통화 제외","30분 미만","%","","11.8","11.4","","","","","","","","",
"아파트","응답자","음성통화 제외","1시간 미만","%","","","","31.9","32.2","32.6","30.7","30.9","28.5","23.4","18.3",
"아파트","응답자","음성통화 제외","30분-1시간 미만","%","","20.4","23.8","","","","","","","","",
"아파트","응답자","음성통화 제외","1-2시간 미만","%","","31.1","49","30.9","28.9","29.5","32","29.2","28.7","25.9","28.2",
"아파트","응답자","음성통화 제외","2-3시간 미만","%","","17.7","15.8","17.7","18.6","16.8","18.1","19","18.7","19.7","19.8",
"아파트","응답자","음성통화 제외","3-4시간 미만","%","","","","8","8.3","9.7","8.8","11.1","11.3","13.6","14.5",
"아파트","응답자","음성통화 제외","3시간 이상","%","","19.1","","","","","","","","","",
"아파트","응답자","음성통화 제외","4시간이상","%","","","","11.4","12","11.4","10.4","9.6","12.7","17.4","19.1",
"아파트","응답자","음성통화 제외","평균","분","","105","92.3","102.4","104.1","102.6","97.3","99.5","111.6","121.9","132.1",
"아파트","응답자","음성통화/문자 제외","사례수","명","1079","","","","","","","","","","",
"아파트","응답자","음성통화/문자 제외","30분 미만","%","20","","","","","","","","","","",
"아파트","응답자","음성통화/문자 제외","30분-1시간 미만","%","27.9","","","","","","","","","","",
"아파트","응답자","음성통화/문자 제외","1-2시간 미만","%","27.2","","","","","","","","","","",
"아파트","응답자","음성통화/문자 제외","2시간 이상","%","24.9","","","","","","","","","","",
"아파트","응답자","음성통화/문자 제외","평균","분","85.3","","","","","","","","","","",
"단독주택","전체","음성통화 제외","사례수","명","","","","","2864","2361","","","","","",
"단독주택","전체","음성통화 제외","1시간 미만","%","","","","","62.9","61.4","","","","","",
"단독주택","전체","음성통화 제외","1-2시간 미만","%","","","","","16.4","17.4","","","","","",
"단독주택","전체","음성통화 제외","2-3시간 미만","%","","","","","10.6","7.7","","","","","",
"단독주택","전체","음성통화 제외","3-4시간 미만","%","","","","","5.2","6.3","","","","","",
"단독주택","전체","음성통화 제외","4시간이상","%","","","","","4.9","7.1","","","","","",
"단독주택","전체","음성통화 제외","평균","분","","","","","56.1","59.8","","","","","",
"단독주택","응답자","음성통화 제외","사례수","명","","1083","1154","1253","1848","1598","1781","1880","1393","1369","1817",
"단독주택","응답자","음성통화 제외","30분 미만","%","","14.1","15.3","","","","","","","","",
"단독주택","응답자","음성통화 제외","1시간 미만","%","","","","33.4","42.5","43","42.9","45.7","41.5","39.7","40.4",
"단독주택","응답자","음성통화 제외","30분-1시간 미만","%","","20.2","24.5","","","","","","","","",
"단독주택","응답자","음성통화 제외","1-2시간 미만","%","","29.9","46.1","31.1","25.4","25.7","26.3","26.4","26.7","22.4","20.1",
"단독주택","응답자","음성통화 제외","2-3시간 미만","%","","16.1","14.1","17.6","16.4","11.4","14.5","11.7","12.8","12.8","16.3",
"단독주택","응답자","음성통화 제외","3-4시간 미만","%","","","","8.3","8.1","9.3","8.4","8.3","9","10.4","10.8",
"단독주택","응답자","음성통화 제외","3시간 이상","%","","19.7","","","","","","","","","",
"단독주택","응답자","음성통화 제외","4시간이상","%","","","","9.6","7.6","10.5","7.9","8","10","14.8","12.4",
"단독주택","응답자","음성통화 제외","평균","분","","107.9","84.8","99.5","87","88.4","82.8","81.5","87.3","100.5","97.6",
"단독주택","응답자","음성통화/문자 제외","사례수","명","457","","","","","","","","","","",
"단독주택","응답자","음성통화/문자 제외","30분 미만","%","20.1","","","","","","","","","","",
"단독주택","응답자","음성통화/문자 제외","30분-1시간 미만","%","26.8","","","","","","","","","","",
"단독주택","응답자","음성통화/문자 제외","1-2시간 미만","%","24.2","","","","","","","","","","",
"단독주택","응답자","음성통화/문자 제외","2시간 이상","%","28.9","","","","","","","","","","",
"단독주택","응답자","음성통화/문자 제외","평균","분","76.5","","","","","","","","","","",
"다세대 및 연립주택","전체","음성통화 제외","사례수","명","","","","","755","841","","","","","",
"다세대 및 연립주택","전체","음성통화 제외","1시간 미만","%","","","","","40.9","40.8","","","","","",
"다세대 및 연립주택","전체","음성통화 제외","1-2시간 미만","%","","","","","25.3","23","","","","","",
"다세대 및 연립주택","전체","음성통화 제외","2-3시간 미만","%","","","","","17","14.2","","","","","",
"다세대 및 연립주택","전체","음성통화 제외","3-4시간 미만","%","","","","","7.7","11.4","","","","","",
"다세대 및 연립주택","전체","음성통화 제외","4시간이상","%","","","","","9","10.7","","","","","",
"다세대 및 연립주택","전체","음성통화 제외","평균","분","","","","","88.5","96.7","","","","","",
"다세대 및 연립주택","응답자","음성통화 제외","사례수","명","","476","473","469","629","759","745","770","691","697","752",
"다세대 및 연립주택","응답자","음성통화 제외","30분 미만","%","","12.3","12.3","","","","","","","","",
"다세대 및 연립주택","응답자","음성통화 제외","1시간 미만","%","","","","32.1","29.2","34.4","32.1","32.8","26.6","28.9","22",
"다세대 및 연립주택","응답자","음성통화 제외","30분-1시간 미만","%","","17.9","20.1","","","","","","","","",
"다세대 및 연립주택","응답자","음성통화 제외","1-2시간 미만","%","","26.6","51.6","29.2","30.3","25.5","31.7","28.5","26.2","26.7","20.6",
"다세대 및 연립주택","응답자","음성통화 제외","2-3시간 미만","%","","18.7","16","20.8","20.4","15.7","19.1","15.9","16.7","16.7","15.7",
"다세대 및 연립주택","응답자","음성통화 제외","3-4시간 미만","%","","","","8.1","9.2","12.6","8.1","9.1","13.3","11.6","19.4",
"다세대 및 연립주택","응답자","음성통화 제외","3시간 이상","%","","24.6","","","","","","","","","",
"다세대 및 연립주택","응답자","음성통화 제외","4시간이상","%","","","","9.8","10.8","11.8","9","14","17.2","16.1","22.4",
"다세대 및 연립주택","응답자","음성통화 제외","평균","분","","113","98.2","101.8","106.1","107","95.3","109.5","128.8","113.5","141.1",
"다세대 및 연립주택","응답자","음성통화/문자 제외","사례수","명","220","","","","","","","","","","",
"다세대 및 연립주택","응답자","음성통화/문자 제외","30분 미만","%","17.3","","","","","","","","","","",
"다세대 및 연립주택","응답자","음성통화/문자 제외","30분-1시간 미만","%","18","","","","","","","","","","",
"다세대 및 연립주택","응답자","음성통화/문자 제외","1-2시간 미만","%","29.9","","","","","","","","","","",
"다세대 및 연립주택","응답자","음성통화/문자 제외","2시간 이상","%","34.8","","","","","","","","","","",
"다세대 및 연립주택","응답자","음성통화/문자 제외","평균","분","103.7","","","","","","","","","","",
"오피스텔","전체","음성통화 제외","사례수","명","","","","","60","94","","","","","",
"오피스텔","전체","음성통화 제외","1시간 미만","%","","","","","10.6","25.9","","","","","",
"오피스텔","전체","음성통화 제외","1-2시간 미만","%","","","","","44.7","14.1","","","","","",
"오피스텔","전체","음성통화 제외","2-3시간 미만","%","","","","","21.2","22","","","","","",
"오피스텔","전체","음성통화 제외","3-4시간 미만","%","","","","","6.5","13.8","","","","","",
"오피스텔","전체","음성통화 제외","4시간이상","%","","","","","17","24.3","","","","","",
"오피스텔","전체","음성통화 제외","평균","분","","","","","131.4","129.7","","","","","",
"오피스텔","응답자","음성통화 제외","사례수","명","","38","66","44","59","93","93","151","129","122","128",
"오피스텔","응답자","음성통화 제외","30분 미만","%","","3","16.9","","","","","","","","",
"오피스텔","응답자","음성통화 제외","1시간 미만","%","","","","15.4","8.8","25.6","32.4","10.2","26.6","3","9.6",
"오피스텔","응답자","음성통화 제외","30분-1시간 미만","%","","33.1","20.2","","","","","","","","",
"오피스텔","응답자","음성통화 제외","1-2시간 미만","%","","34.5","31.6","23.1","45.6","14.2","13","31.8","27.4","20.4","34.9",
"오피스텔","응답자","음성통화 제외","2-3시간 미만","%","","9.5","31.2","19","21.6","22.1","24.1","33.2","16.5","47","31.7",
"오피스텔","응답자","음성통화 제외","3-4시간 미만","%","","","","17.9","6.6","13.8","15.3","16.6","19.3","15.7","11.2",
"오피스텔","응답자","음성통화 제외","3시간 이상","%","","19.9","","","","","","","","","",
"오피스텔","응답자","음성통화 제외","4시간이상","%","","","","24.6","17.4","24.4","15.2","8","10.2","13.9","12.6",
"오피스텔","응답자","음성통화 제외","평균","분","","90.5","111.8","152.9","134.1","130.3","115.6","125.7","109.8","147.4","128.9",
"오피스텔","응답자","음성통화/문자 제외","사례수","명","31","","","","","","","","","","",
"오피스텔","응답자","음성통화/문자 제외","30분 미만","%","7.1","","","","","","","","","","",
"오피스텔","응답자","음성통화/문자 제외","30분-1시간 미만","%","12.3","","","","","","","","","","",
"오피스텔","응답자","음성통화/문자 제외","1-2시간 미만","%","46.1","","","","","","","","","","",
"오피스텔","응답자","음성통화/문자 제외","2시간 이상","%","34.4","","","","","","","","","","",
"오피스텔","응답자","음성통화/문자 제외","평균","분","101.3","","","","","","","","","","",
"상가주택","전체","음성통화 제외","사례수","명","","","","","","162","","","","","",
"상가주택","전체","음성통화 제외","1시간 미만","%","","","","","","77.3","","","","","",
"상가주택","전체","음성통화 제외","1-2시간 미만","%","","","","","","12.4","","","","","",
"상가주택","전체","음성통화 제외","2-3시간 미만","%","","","","","","2.1","","","","","",
"상가주택","전체","음성통화 제외","3-4시간 미만","%","","","","","","3.1","","","","","",
"상가주택","전체","음성통화 제외","4시간이상","%","","","","","","5.1","","","","","",
"상가주택","전체","음성통화 제외","평균","분","","","","","","38.8","","","","","",
"상가주택","응답자","음성통화 제외","사례수","명","","47","","","","111","70","73","","149","",
"상가주택","응답자","음성통화 제외","30분 미만","%","","24.6","","","","","","","","","",
"상가주택","응답자","음성통화 제외","1시간 미만","%","","","","","","66.8","62.4","19.3","","43","",
"상가주택","응답자","음성통화 제외","30분-1시간 미만","%","","39.6","","","","","","","","","",
"상가주택","응답자","음성통화 제외","1-2시간 미만","%","","25","","","","18.1","20.2","28.4","","24.9","",
"상가주택","응답자","음성통화 제외","2-3시간 미만","%","","3.1","","","","3.1","4.6","25.2","","18.4","",
"상가주택","응답자","음성통화 제외","3-4시간 미만","%","","","","","","4.6","12.8","14.2","","5.3","",
"상가주택","응답자","음성통화 제외","3시간 이상","%","","7.7","","","","","","","","","",
"상가주택","응답자","음성통화 제외","4시간이상","%","","","","","","7.4","0","12.8","","8.4","",
"상가주택","응답자","음성통화 제외","평균","분","","58.6","","","","56.7","49.3","119.9","","80.6","",
"기타","전체","음성통화 제외","사례수","명","","","","","111","2","","","","","",
"기타","전체","음성통화 제외","1시간 미만","%","","","","","46.8","100","","","","","",
"기타","전체","음성통화 제외","1-2시간 미만","%","","","","","9.3","0","","","","","",
"기타","전체","음성통화 제외","2-3시간 미만","%","","","","","21.9","0","","","","","",
"기타","전체","음성통화 제외","3-4시간 미만","%","","","","","2.4","0","","","","","",
"기타","전체","음성통화 제외","4시간이상","%","","","","","19.5","0","","","","","",
"기타","전체","음성통화 제외","평균","분","","","","","109","0","","","","","",
"기타","응답자","음성통화 제외","사례수","명","","","59","72","98","","","","218","","128",
"기타","응답자","음성통화 제외","30분 미만","%","","","9","","","","","","","","",
"기타","응답자","음성통화 제외","1시간 미만","%","","","","13.3","39.7","","","","26.1","","39",
"기타","응답자","음성통화 제외","30분-1시간 미만","%","","","11.4","","","","","","","","",
"기타","응답자","음성통화 제외","1-2시간 미만","%","","","69.1","39.3","10.6","","","","17.3","","16.9",
"기타","응답자","음성통화 제외","2-3시간 미만","%","","","10.5","29.8","24.9","","","","27.9","","18.2",
"기타","응답자","음성통화 제외","3-4시간 미만","%","","","","2.9","2.7","","","","13.2","","6.8",
"기타","응답자","음성통화 제외","4시간이상","%","","","","14.7","22.1","","","","15.4","","19.1",
"기타","응답자","음성통화 제외","평균","분","","","136.7","122.9","123.6","","","","137.5","","112.3",
"기타","응답자","음성통화/문자 제외","사례수","명","15","","","","","","","","","","",
"기타","응답자","음성통화/문자 제외","30분 미만","%","28.1","","","","","","","","","","",
"기타","응답자","음성통화/문자 제외","30분-1시간 미만","%","11.2","","","","","","","","","","",
"기타","응답자","음성통화/문자 제외","1-2시간 미만","%","24.7","","","","","","","","","","",
"기타","응답자","음성통화/문자 제외","2시간 이상","%","36.1","","","","","","","","","","",
"기타","응답자","음성통화/문자 제외","평균","분","142.1","","","","","","","","","","",
"무응답","응답자","음성통화 제외","사례수","명","","","","","","","","","11","","",
"무응답","응답자","음성통화 제외","1시간 미만","%","","","","","","","","","0","","",
"무응답","응답자","음성통화 제외","1-2시간 미만","%","","","","","","","","","44.9","","",
"무응답","응답자","음성통화 제외","2-3시간 미만","%","","","","","","","","","0","","",
"무응답","응답자","음성통화 제외","3-4시간 미만","%","","","","","","","","","24.2","","",
"무응답","응답자","음성통화 제외","4시간이상","%","","","","","","","","","30.9","","",
"무응답","응답자","음성통화 제외","평균","분","","","","","","","","","144.7","","",
"독신가구","전체","음성통화 제외","사례수","명","","","","","864","975","","","","","",
"독신가구","전체","음성통화 제외","1시간 미만","%","","","","","54.2","49.2","","","","","",
"독신가구","전체","음성통화 제외","1-2시간 미만","%","","","","","19","19.1","","","","","",
"독신가구","전체","음성통화 제외","2-3시간 미만","%","","","","","14.5","12.2","","","","","",
"독신가구","전체","음성통화 제외","3-4시간 미만","%","","","","","5.2","9.1","","","","","",
"독신가구","전체","음성통화 제외","4시간이상","%","","","","","7.1","10.4","","","","","",
"독신가구","전체","음성통화 제외","평균","분","","","","","67.2","83.9","","","","","",
"독신가구","응답자","음성통화 제외","사례수","명","","","","","575","746","721","883","777","826","1005",
"독신가구","응답자","음성통화 제외","1시간 미만","%","","","","","31.1","33.7","32.3","35","26","21.5","24.3",
"독신가구","응답자","음성통화 제외","1-2시간 미만","%","","","","","28.5","25","23.5","24.9","25.2","20.3","19.2",
"독신가구","응답자","음성통화 제외","2-3시간 미만","%","","","","","21.8","16","22.5","15.5","18.2","21.4","14",
"독신가구","응답자","음성통화 제외","3-4시간 미만","%","","","","","7.9","11.8","11.1","10.6","16.5","17.2","18.1",
"독신가구","응답자","음성통화 제외","4시간이상","%","","","","","10.7","13.5","10.6","13.8","14.2","19.5","24.4",
"독신가구","응답자","음성통화 제외","평균","분","","","","","101","109.6","100.8","106.2","120","135","143",
"1세대가구","전체","음성통화 제외","사례수","명","","","","","1177","1290","","","","","",
"1세대가구","전체","음성통화 제외","1시간 미만","%","","","","","68.8","65.5","","","","","",
"1세대가구","전체","음성통화 제외","1-2시간 미만","%","","","","","14.7","15.5","","","","","",
"1세대가구","전체","음성통화 제외","2-3시간 미만","%","","","","","8.3","7.5","","","","","",
"1세대가구","전체","음성통화 제외","3-4시간 미만","%","","","","","3.9","5.9","","","","","",
"1세대가구","전체","음성통화 제외","4시간이상","%","","","","","4.3","5.6","","","","","",
"1세대가구","전체","음성통화 제외","평균","분","","","","","44.3","55.1","","","","","",
"1세대가구","응답자","음성통화 제외","사례수","명","","","","","699","924","1038","1195","913","949","1178",
"1세대가구","응답자","음성통화 제외","1시간 미만","%","","","","","47.4","51.9","48.5","51.6","49.5","44.4","43.4",
"1세대가구","응답자","음성통화 제외","1-2시간 미만","%","","","","","24.7","21.7","25.4","24.9","27","25.1","23",
"1세대가구","응답자","음성통화 제외","2-3시간 미만","%","","","","","14","10.4","13.6","12.6","10.8","12.6","17.1",
"1세대가구","응답자","음성통화 제외","3-4시간 미만","%","","","","","6.6","8.2","6.4","5","7.9","9.6","8.4",
"1세대가구","응답자","음성통화 제외","4시간이상","%","","","","","7.2","7.8","6.2","6","4.7","8.4","8.1",
"1세대가구","응답자","음성통화 제외","평균","분","","","","","74.6","76.9","71.7","70.1","71.1","82.6","84.1",
"2세대가구","전체","음성통화 제외","사례수","명","","","","","4556","4598","","","","","",
"2세대가구","전체","음성통화 제외","1시간 미만","%","","","","","42.6","40.4","","","","","",
"2세대가구","전체","음성통화 제외","1-2시간 미만","%","","","","","24.2","25.9","","","","","",
"2세대가구","전체","음성통화 제외","2-3시간 미만","%","","","","","16.2","14.6","","","","","",
"2세대가구","전체","음성통화 제외","3-4시간 미만","%","","","","","7.1","8.8","","","","","",
"2세대가구","전체","음성통화 제외","4시간이상","%","","","","","9.8","10.3","","","","","",
"2세대가구","전체","음성통화 제외","평균","분","","","","","90.1","90.8","","","","","",
"2세대가구","응답자","음성통화 제외","사례수","명","","","","","3962","4098","4320","4024","3504","3308","3580",
"2세대가구","응답자","음성통화 제외","1시간 미만","%","","","","","34","33.1","31.1","29.2","27.7","24.2","19.7",
"2세대가구","응답자","음성통화 제외","1-2시간 미만","%","","","","","27.9","29.1","32.6","30.5","28.4","26.2","27.1",
"2세대가구","응답자","음성통화 제외","2-3시간 미만","%","","","","","18.7","16.4","17.4","18.7","19.2","20.1","20.9",
"2세대가구","응답자","음성통화 제외","3-4시간 미만","%","","","","","8.2","9.9","8.9","11.9","10.6","11.9","14.3",
"2세대가구","응답자","음성통화 제외","4시간이상","%","","","","","11.3","11.5","10","9.3","14","17.6","18",
"2세대가구","응답자","음성통화 제외","평균","분","","","","","103.6","101.8","96.6","101.5","114.9","119.8","128.7",
"3세대가구","전체","음성통화 제외","사례수","명","","","","","855","460","","","","","",
"3세대가구","전체","음성통화 제외","1시간 미만","%","","","","","52.3","55.3","","","","","",
"3세대가구","전체","음성통화 제외","1-2시간 미만","%","","","","","22.2","21","","","","","",
"3세대가구","전체","음성통화 제외","2-3시간 미만","%","","","","","12","7.1","","","","","",
"3세대가구","전체","음성통화 제외","3-4시간 미만","%","","","","","7.5","7.6","","","","","",
"3세대가구","전체","음성통화 제외","4시간이상","%","","","","","6","9","","","","","",
"3세대가구","전체","음성통화 제외","평균","분","","","","","67.3","69.4","","","","","",
"3세대가구","응답자","음성통화 제외","사례수","명","","","","","620","322","354","335","271","362","350",
"3세대가구","응답자","음성통화 제외","1시간 미만","%","","","","","34.3","36","42.7","43.4","35.3","32.7","29.5",
"3세대가구","응답자","음성통화 제외","1-2시간 미만","%","","","","","30.5","30","25.2","22","26.9","28.7","30.2",
"3세대가구","응답자","음성통화 제외","2-3시간 미만","%","","","","","16.6","10.2","13.6","14.7","16.3","9","15",
"3세대가구","응답자","음성통화 제외","3-4시간 미만","%","","","","","10.3","10.9","8.4","6.3","10.2","12.4","11.7",
"3세대가구","응답자","음성통화 제외","4시간이상","%","","","","","8.3","12.8","10.1","13.4","11.2","17.1","13.7",
"3세대가구","응답자","음성통화 제외","평균","분","","","","","92.7","99.3","88.5","96.2","99.9","111","105.9",
"기타","전체","음성통화 제외","사례수","명","","","","","101","62","","","","","",
"기타","전체","음성통화 제외","1시간 미만","%","","","","","15.1","27.2","","","","","",
"기타","전체","음성통화 제외","1-2시간 미만","%","","","","","23.9","31.7","","","","","",
"기타","전체","음성통화 제외","2-3시간 미만","%","","","","","19.9","16.3","","","","","",
"기타","전체","음성통화 제외","3-4시간 미만","%","","","","","11.3","6.7","","","","","",
"기타","전체","음성통화 제외","4시간이상","%","","","","","29.8","18.1","","","","","",
"기타","전체","음성통화 제외","평균","분","","","","","146.5","111.3","","","","","",
"기타","응답자","음성통화 제외","사례수","명","","","","","94","59","32","33","310","168","247",
"기타","응답자","음성통화 제외","1시간 미만","%","","","","","9","23.5","12","12.8","27.3","35.5","17.8",
"기타","응답자","음성통화 제외","1-2시간 미만","%","","","","","25.6","33.3","27.2","36.3","24.7","17","18.4",
"기타","응답자","음성통화 제외","2-3시간 미만","%","","","","","21.3","17.1","31.9","5.1","13.1","16.4","15",
"기타","응답자","음성통화 제외","3-4시간 미만","%","","","","","12.1","7","10.8","17.9","16.5","13.6","18.2",
"기타","응답자","음성통화 제외","4시간이상","%","","","","","31.9","19","18.1","27.8","18.5","17.6","30.5",
"기타","응답자","음성통화 제외","평균","분","","","","","157","116.9","140.5","153","129.8","115.9","164.6",
"지상파(TV)방송만 이용","전체","음성통화 제외","사례수","명","","","","","352","325","","","","","",
"지상파(TV)방송만 이용","전체","음성통화 제외","1시간 미만","%","","","","","49.4","50.5","","","","","",
"지상파(TV)방송만 이용","전체","음성통화 제외","1-2시간 미만","%","","","","","20","20.1","","","","","",
"지상파(TV)방송만 이용","전체","음성통화 제외","2-3시간 미만","%","","","","","16.5","16.4","","","","","",
"지상파(TV)방송만 이용","전체","음성통화 제외","3-4시간 미만","%","","","","","6.7","5.9","","","","","",
"지상파(TV)방송만 이용","전체","음성통화 제외","4시간이상","%","","","","","7.4","7","","","","","",
"지상파(TV)방송만 이용","전체","음성통화 제외","평균","분","","","","","74.4","75","","","","","",
"지상파(TV)방송만 이용","응답자","음성통화 제외","사례수","명","","239","292","266","259","249","294","254","121","108","89",
"지상파(TV)방송만 이용","응답자","음성통화 제외","30분 미만","%","","14","5.4","","","","","","","","",
"지상파(TV)방송만 이용","응답자","음성통화 제외","1시간 미만","%","","","","31.4","31.3","35.2","18.8","33","45.3","15.3","30.6",
"지상파(TV)방송만 이용","응답자","음성통화 제외","30분-1시간 미만","%","","19.7","14","","","","","","","","",
"지상파(TV)방송만 이용","응답자","음성통화 제외","1-2시간 미만","%","","28.3","57.1","17.6","27.2","26.3","28","23.2","16.7","20.2","16.8",
"지상파(TV)방송만 이용","응답자","음성통화 제외","2-3시간 미만","%","","15.7","23.4","25.2","22.4","21.4","20.7","21.2","19.6","14.6","10.3",
"지상파(TV)방송만 이용","응답자","음성통화 제외","3-4시간 미만","%","","","","9.8","9.1","7.8","19.1","11","9","25.7","6.1",
"지상파(TV)방송만 이용","응답자","음성통화 제외","3시간 이상","%","","22.4","","","","","","","","","",
"지상파(TV)방송만 이용","응답자","음성통화 제외","4시간이상","%","","","","16","10","9.2","13.3","11.6","9.3","24.1","36.2",
"지상파(TV)방송만 이용","응답자","음성통화 제외","평균","분","","111.7","120.7","120.3","101","98.1","121.1","107.8","94.2","151.7","134.7",
"지상파(TV)방송만 이용","응답자","음성통화/문자 제외","사례수","명","122","","","","","","","","","","",
"지상파(TV)방송만 이용","응답자","음성통화/문자 제외","30분 미만","%","27.8","","","","","","","","","","",
"지상파(TV)방송만 이용","응답자","음성통화/문자 제외","30분-1시간 미만","%","24.9","","","","","","","","","","",
"지상파(TV)방송만 이용","응답자","음성통화/문자 제외","1-2시간 미만","%","27.7","","","","","","","","","","",
"지상파(TV)방송만 이용","응답자","음성통화/문자 제외","2시간 이상","%","19.6","","","","","","","","","","",
"지상파(TV)방송만 이용","응답자","음성통화/문자 제외","평균","분","80","","","","","","","","","","",
"유선방송","응답자","음성통화 제외","사례수","명","","2442","","","","","","","","","",
"유선방송","응답자","음성통화 제외","30분 미만","%","","14.2","","","","","","","","","",
"유선방송","응답자","음성통화 제외","30분-1시간 미만","%","","22.4","","","","","","","","","",
"유선방송","응답자","음성통화 제외","1-2시간 미만","%","","29.8","","","","","","","","","",
"유선방송","응답자","음성통화 제외","2-3시간 미만","%","","15.5","","","","","","","","","",
"유선방송","응답자","음성통화 제외","3시간 이상","%","","18.1","","","","","","","","","",
"유선방송","응답자","음성통화 제외","평균","분","","98.6","","","","","","","","","",
"유선방송","응답자","음성통화/문자 제외","사례수","명","1281","","","","","","","","","","",
"유선방송","응답자","음성통화/문자 제외","30분 미만","%","20.7","","","","","","","","","","",
"유선방송","응답자","음성통화/문자 제외","30분-1시간 미만","%","27","","","","","","","","","","",
"유선방송","응답자","음성통화/문자 제외","1-2시간 미만","%","23.8","","","","","","","","","","",
"유선방송","응답자","음성통화/문자 제외","2시간 이상","%","28.4","","","","","","","","","","",
"유선방송","응답자","음성통화/문자 제외","평균","분","87.6","","","","","","","","","","",
"지상파DMB","응답자","음성통화/문자 제외","사례수","명","889","","","","","","","","","","",
"지상파DMB","응답자","음성통화/문자 제외","30분 미만","%","16.8","","","","","","","","","","",
