,itemId,title,description,pubDate,priceStandard,priceSales,discountRate,saleStatus,mileage,mileageRate,coverSmallUrl,coverLargeUrl,categoryId,categoryName,publisher,rank,customerReviewRank,reviewCount,author,translator,isbn,link,mobileLink,additionalLink
0,354750490,역행자,"“절대 읽지 마라! 죽을 때까지 순리자로 살고 싶다면!” 오타쿠 흙수저에서 월 1억 자동 수익을 실현한 무자본 연쇄창업마,라이프해커 자청의 인생 역주행 공식 대공개!대부분의 사람들은 유전자와 본성의 명령을 그대로 따르기 때문에 평범함을 벗어날 수 없다. 하지만 정작 자신은 이를 모른 채 ‘나는 달라’ 하는 자의식에 사로잡혀서 무한 합리화에 빠져 살아간다. 스스로가 얼마나 많은 정신적, 심리적 오류를 저지르는지 알지 못한 채 매일 똑같은 쳇바퀴를 돌 뿐이다. 왜 우리는 진짜 자유를 얻지 못하는가? 왜 늘 돈 이야기를 하면서도 평생 돈에 허덕이는가?저자 역시 스무 살까지는 이런 쳇바퀴에 갇혀 있었기 때문에, 그 상황을 누구보다 잘 알았다.  자청의 첫 책 『역행자』에는 가난한 인생에서 벗어나 경제...",20220530,17500,15750,10,판매중,870,6,https://bimage.interpark.com/partner/goods_image/0/4/9/0/354750490h.jpg,https://bimage.interpark.com/partner/goods_image/0/4/9/0/354750490s.jpg,117,국내도서,웅진지식하우스,1,9.7,7,자청,,9788901260716,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354750490&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=354750490&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=354750490&biz_cd=
1,354684672,작별인사,"누구도 도와줄 수 없는 상황, 혼자 헤쳐나가야 한다지켜야 할 약속, 붙잡고 싶은 온기김영하가 『살인자의 기억법』 이후 9 년 만에 내놓는 장편소설 『작별인사』는 그리 멀지 않은 미래를 배경으로, 별안간 삶이 송두리째 뒤흔들린 한 소년의 여정을 좇는다. 유명한 IT 기업의 연구원인 아버지와 쾌적하고 평화롭게 살아가던 철이는 어느날 갑자기 수용소로 끌려가 난생처음 날것의 감정으로 가득한 혼돈의 세계에 맞닥뜨리게 되면서 정신적, 신체적 위기에 직면한다. 동시에 자신처럼 사회에서 배제된 자들을 만나 처음으로 생생한 소속감을 느끼고 따뜻한 우정도 싹틔운다. 철이는 그들과  함께  수용소를 탈출하여 집으로 돌아가기 위해 길을 떠나지만  그 여정에는 피할 수 없는 질문이 기다리고 있다.세계보건기구 WHO가 팬데...",20220502,14000,12600,10,판매중,700,6,https://bimage.interpark.com/partner/goods_image/4/6/7/2/354684672h.jpg,https://bimage.interpark.com/partner/goods_image/4/6/7/2/354684672s.jpg,101,국내도서,복복서가,2,10.0,2,김영하(金英夏),,9791191114225,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354684672&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=354684672&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=354684672&biz_cd=
2,354726066,인플레이션에서 살아남기,"40년 만에 찾아온 인플레의 역습, 당신의 자산이 무너지기 시작했다!200만 구독자의 열렬한 사랑을 받는 「삼프로TV」는 경제 분야 1위 유튜브 채널이다. 내로라하는 TOP급 전문가들이 출연해 국내외 시황 등의 정보를 나누는데, 요즘처럼 금리가 뛰어오르고 환율이 고공행진 하는 등 혼란스러운 시장이 펼쳐질 때 독자들이 한마음 한뜻으로 찾는 사람이 있다. 바로 신한은행 WM그룹의 부부장, 오건영 저자다. ‘글로벌 경제 1타 강사’로 불리는 오건영 저자의 또 다른 애칭은 ‘대한민국 최고의 Fed(연준) 전문가’다. 글로벌 시장의 폭주를 막아줄 유일한 파수꾼이 Fed이므로, 이들의 행보가 곧 문제를 해결해줄 실마리가 될 것이다. 오건영 저자의 해설을 들으며 그들의 과거 행적을 되짚어보면 경제는 앞으로 어떤...",20220523,18800,16920,10,판매중,940,6,https://bimage.interpark.com/partner/goods_image/6/0/6/6/354726066h.jpg,https://bimage.interpark.com/partner/goods_image/6/0/6/6/354726066s.jpg,117,국내도서,페이지2북스,3,10.0,3,오건영,,9791190977661,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354726066&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=354726066&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=354726066&biz_cd=
3,354630464,기분을 관리하면 인생이 관리된다,"하루를 결정하는 건 그날의 기분이다기분에 따라 그날 하루가 달라진다. 기분이 별로 좋지 않은 날엔 어떤 일을 해도 과정도 결과도 마음에 들지 않는다. 하지만 기분이 좋은 날엔 상대방이 나에게 실수를 하더라도 웃어넘길 수 있는 여유가 생기고, 하루의 모든 것들이 밝고 긍정적이라는 생각이 든다. 우리의 하루를 결정하는 기분. 하지만 기분을 관리하는 일은 쉽지 않다. 하루 안에도 수많은 사람을 만나고, 수많은 상황이 펼쳐지기 때문이다. 내 마음대로 되지 않는 삶을 살아가며, 우리는 나와 맞지 않는 사람과 애써 관계를 이어가기 위해 내 마음과 감정을 조금 더 참아내거나 자신을 깎아내리기도 하고, 상황에 휘둘려 잘못된 선택을 내리기도 한다. 그런 사람들에게 더 이상 자신을 깎아내리거나, 상황에 휘둘리지 않도록. ...",20220412,17600,15840,10,판매중,880,6,https://bimage.interpark.com/partner/goods_image/0/4/6/4/354630464h.jpg,https://bimage.interpark.com/partner/goods_image/0/4/6/4/354630464s.jpg,102,국내도서,클라우디아,4,9.9,1,김다슬,,9791196617127,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354630464&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=354630464&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=354630464&biz_cd=
4,354815756,눈물 한 방울,"“나에게 남아 있는 마지막 말은 무엇인가?‘디지로그’ ‘생명자본’에 이은 그것은 ‘눈물 한 방울’이었다.”시대의 지성 이어령이 2019년 11월부터 영면에 들기 한 달 전인 2022년 1월까지삶을 반추하고 죽음을 독대하며 써내려간 미공개 육필원고탁월한 통찰력으로 문명의 패러다임을 제시해온 시대의 지성 이어령이 생의 마지막 순간 남긴 새로운 화두, ‘눈물 한 방울’. 나와 남을 위해 흘리는 작은 눈물방울에서 그는 함께 사는 세상을 위한 희망의 씨앗을 보았다. 어린 시절 어머니와의 추억부터 가장 작아서 가장 큰 가치 ‘눈물 한 방울’까지, 세상을 놀라게 한 자유로운 사유와 창조적 영감부터 병마와 싸우며 가슴과 마음에 묻어두었던 절규까지, 끝까지 펜을 놓지 않고 생명과 죽음을 성찰한 인간 이어령의 마지...",20220630,15800,14220,10,판매중,790,6,https://bimage.interpark.com/partner/goods_image/5/7/5/6/354815756h.jpg,https://bimage.interpark.com/partner/goods_image/5/7/5/6/354815756s.jpg,119,국내도서,김영사,5,0.0,0,이어령(李御寧),,9788934961574,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354815756&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=354815756&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=354815756&biz_cd=
5,348921505,불편한 편의점(40만부 기념 벚꽃 에디션),"※ 인터넷 한정 특별판: 매장 구매, 바로드림 구매 시에는 다른 표지의 에디션으로 제공됩니다.원 플러스 원의 기쁨, 삼각김밥 모양의 슬픔, 만 원에 네 번의 폭소가 터지는 곳!힘겨운 시대를 살아가는 우리들에게 다가온 조금 특별한 편의점 이야기누적 판매 40만부 돌파, 2022년 가장 사랑받는 소설★★★전 서점 종합베스트 1위, 2021 올해의 책,★★★국립중앙도서관 사서추천도서, 해외 6개국 판권 수출김호연 작가의 장편소설 『불편한 편의점』이 누적 판매 40만부 돌파를 기념하여 벚꽃 에디션으로 새 단장 했습니다. 2021년 4월에 출간되어 전 연령층의 폭넓은 공감을 얻으며 소설 읽기 바람을 일으킨 『불편한 편의점』의 열기는 지금도 현재진행형입니다. “읽는 내내 마음이 따뜻하고 먹먹했다” “눈...",20210420,14000,12600,10,판매중,700,6,https://bimage.interpark.com/partner/goods_image/1/5/0/5/348921505h.jpg,https://bimage.interpark.com/partner/goods_image/1/5/0/5/348921505s.jpg,101,국내도서,나무옆의자,6,9.8,21,김호연,,9791161571188,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=348921505&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=348921505&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=348921505&biz_cd=
6,354815913,"유럽도시기행 2: 빈, 부다페스트, 프라하, 드레스덴 편","유시민의 3년 만에 돌아온 신작,《유럽도시기행 2》는 시대의 격랑을 이겨내고 저마다의 방식으로 자신의 존재감을 빛내는 네 도시,빈, 부다페스트, 프라하, 드레스덴의 이야기를 담았다.""이 책은 힘들게 마음먹은 유럽 도시를 알차고 풍성하게 여행하거나 미디어를 통해 어렴풋이 알고 있는 유럽의 도시를 제대로 알고 싶을 때, 누군가 콕콕 찍어서 알려 줬으면 하는 내용이 빼곡히 들어있다. 도시의 매력을 느낄 수 있는 핫플레이스부터, 각 도시의 건축물, 길과 광장, 박물관과 예술품 등 그 무엇을 만나도 당황하지 않을 탄탄한 배경 지식, 도시의 존재감을 만들어낸 세계사적 사건과 인물들, 유럽의 역사와 도시의 역사가 씨줄과 날줄처럼 교차하며 생긴 도시의 서사와 상흔들까지, 우리가 도시를 더 풍성하게 만끽할 수 있는 ...",20220709,17500,15750,10,판매중,870,6,https://bimage.interpark.com/partner/goods_image/5/9/1/3/354815913h.jpg,https://bimage.interpark.com/partner/goods_image/5/9/1/3/354815913s.jpg,119,국내도서,생각의길,7,8.7,1,유시민(柳時敏),,9788965137702,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354815913&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=354815913&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=354815913&biz_cd=
7,298189479,해커스 토익 기출 보카 TOEIC VOCA,주제별 연상암기로 토익 영단어 30일 완성1. 토익 기출 보카 30일 완성!2. 주제별 연상암기로 쉽고 재미있게 단어 학습3. 최신 기출 단어 및 출제포인트 수록4. 목표 점수대별 필수 단어로 맞춤 학습 가능5. 출제율 높은 핵심 단어만 골라 효율적으로 학습6. 토익 신유형 대비 〈토익 필수 이디엄 표현〉 수록7. 실전 감각을 키우는 토익 실전문제 13회분 제공(교재 3회+온라인 10회),20220314,12900,11610,10,판매중,640,6,https://bimage.interpark.com/partner/goods_image/9/4/7/9/298189479h.jpg,https://bimage.interpark.com/partner/goods_image/9/4/7/9/298189479s.jpg,,,해커스어학연구소,8,9.2,12,David Cho(데이비드 조),,9788965422785,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=298189479&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=298189479&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=298189479&biz_cd=
8,354819529,에그박사 7,"생생한 관찰 스토리와 귀여운 생물 도감이 만났다!《에그박사 7》은 인기 키즈 크리에이터 에그박사의 원작 영상을 생생한 관찰 스토리와 귀여운 생물 도감으로 재구성한 자연 생물 관찰 만화입니다. 과학자, 철학가, 예술가의 눈으로 곤충의 삶을 관찰했던 프랑스의 곤충학자 파브르의《곤충기》처럼 에그박사의 눈으로 바라본 신비롭고 놀라운 자연 생물의 이야기가 가득하지요. 주인공 에그박사와 양박사, 웅박사가 자연을 누비며 신기한 생물들을 관찰하는 짜릿한 메인 스토리와 의인화된 곤충들의 서브 스토리의 구성은 자연에 대한 따뜻한 정서 공감을 끌어냄과 동시에 어린이들의 탐구 본능을 일깨워 줄 것입니다. 또한 중간중간 수록된 생물 퀴즈 게임, 생물 도감 그리기, 관찰 보고서 작성하기 등 다양한 워크북 활동은 어린이 독자들의 ...",20220615,14500,13050,10,예약판매,720,6,https://bimage.interpark.com/partner/goods_image/9/5/2/9/354819529h.jpg,https://bimage.interpark.com/partner/goods_image/9/5/2/9/354819529s.jpg,110,국내도서,미래엔아이세움,9,0.0,0,"에그박사,박송이",,9791168412279,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354819529&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=354819529&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=354819529&biz_cd=
9,349751212,백년허리 2: 치료편,"서울대 의대 재활의학과 정선근 교수의 스테디셀러인 백년허리1 진단편에 이어서 실제적인 치료 방법을 제시하고 있는 백년허리2 치료편이다. 치료편에서 저자는 허리 통증에서 벗어날 수 있는 방법을 정확히, 구체적으로, 누구나 따라할 수 있도록 설명하고 있다. 일상생활, 운동, 작업 등 허리 아픈 사람이 겪게 되는 모든 상황에서 허리를 어떻게 사용하는 것이 옳은지를 알려주는 말그대로 국민 허리 사용설명서이다.",20210513,18500,16650,10,판매중,920,6,https://bimage.interpark.com/partner/goods_image/1/2/1/2/349751212h.jpg,https://bimage.interpark.com/partner/goods_image/1/2/1/2/349751212s.jpg,126,국내도서,언탱글링,10,0.0,0,정선근,,9791197437311,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=349751212&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=349751212&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=349751212&biz_cd=
