,itemId,title,description,pubDate,priceStandard,priceSales,discountRate,saleStatus,mileage,mileageRate,coverSmallUrl,coverLargeUrl,categoryId,categoryName,publisher,customerReviewRank,reviewCount,author,translator,isbn,link,mobileLink,additionalLink
0,354772537,Diary of a Wimpy Kid: Diper Overlode (Book 17),,20221025,17900,14320,20,일시품절,430,3,https://bimage.interpark.com/partner/goods_image/2/5/3/7/354772537h.jpg,https://bimage.interpark.com/partner/goods_image/2/5/3/7/354772537s.jpg,200,외국도서,Puffin,0.0,0,제프 키니,,9780241583081,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354772537&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354772537&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354772537&biz_cd=
1,354815833,Diary of a Wimpy Kid : Book 17,,20221025,19400,12500,36,일시품절,250,2,https://bimage.interpark.com/partner/goods_image/5/8/3/3/354815833h.jpg,https://bimage.interpark.com/partner/goods_image/5/8/3/3/354815833s.jpg,200,외국도서,Amulet Books,0.0,0,제프 키니,,9781419762949,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354815833&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354815833&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354815833&biz_cd=
2,354672603,"Unstoppable Us, Volume 1: How Humans Took Over the World",,20221020,27000,21500,20,일시품절,650,3,https://bimage.interpark.com/partner/goods_image/2/6/0/3/354672603h.jpg,https://bimage.interpark.com/partner/goods_image/2/6/0/3/354672603s.jpg,200,외국도서,Puffin Books,0.0,0,유발 하라리,,9780241596104,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354672603&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354672603&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354672603&biz_cd=
3,354734193,Guinness World Records 2023,,20220925,39500,31600,20,일시품절,950,3,https://bimage.interpark.com/partner/goods_image/4/1/9/3/354734193h.jpg,https://bimage.interpark.com/partner/goods_image/4/1/9/3/354734193s.jpg,200,외국도서,Guinness World Records,0.0,0,Guinness World Records,,9781913484217,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354734193&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354734193&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354734193&biz_cd=
4,354510493,What If? 2,"Praise for Randall Munroe and What If?“What If? is one of my Internet must-reads, and I look forward to each new installment, and always read it with delight.” ?Cory Doctorow, BoingBoing“Randall Munroe is a national treasure.” ?Phil Plait “Extreme astrophysics and indecipherable chemistry have rarely been this clearly explained or this consistently hilarious.” ?Entertainment Weekly “10 Best ...",20220903,21800,17440,20,일시품절,530,3,https://bimage.interpark.com/partner/goods_image/0/4/9/3/354510493h.jpg,https://bimage.interpark.com/partner/goods_image/0/4/9/3/354510493s.jpg,200,외국도서,Riverhead Books,0.0,0,"Munroe, Randall",,9780593542903,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354510493&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354510493&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354510493&biz_cd=
5,354595101,L'inconnue de la Seine,,20220901,32000,31040,3,판매중,940,3,https://bimage.interpark.com/partner/goods_image/5/1/0/1/354595101h.jpg,https://bimage.interpark.com/partner/goods_image/5/1/0/1/354595101s.jpg,200,외국도서,Hachette Livre - BNF,0.0,0,기욤 뮈소,,9782702183670,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354595101&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354595101&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354595101&biz_cd=
6,354773497,I Paint What I Want to See,,20220901,8900,7570,15,판매중,230,3,https://bimage.interpark.com/partner/goods_image/3/4/9/7/354773497h.jpg,https://bimage.interpark.com/partner/goods_image/3/4/9/7/354773497s.jpg,200,외국도서,Penguin Group,0.0,0,Philip Guston,,9780241525715,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354773497&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354773497&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354773497&biz_cd=
7,354819431,Virgil Abloh,,20220830,104000,88400,15,일시품절,4420,5,https://bimage.interpark.com/partner/goods_image/9/4/3/1/354819431h.jpg,https://bimage.interpark.com/partner/goods_image/9/4/3/1/354819431s.jpg,200,외국도서,Delmonico Books,0.0,0,"Darling, Michael,Grynsztejn, Madeleine,Abloh, Virgil",,9781636810744,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354819431&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354819431&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354819431&biz_cd=
8,354806173,Love on the Brain,,20220823,15000,12000,20,일시품절,360,3,https://bimage.interpark.com/partner/goods_image/6/1/7/3/354806173h.jpg,https://bimage.interpark.com/partner/goods_image/6/1/7/3/354806173s.jpg,200,외국도서,Little Brown Uk,0.0,0,Ali Hazelwood,,9781408725771,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354806173&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354806173&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354806173&biz_cd=
9,354792118,Creepy Crayon!,,20220823,22800,18240,20,판매중,550,3,https://bimage.interpark.com/partner/goods_image/2/1/1/8/354792118h.jpg,https://bimage.interpark.com/partner/goods_image/2/1/1/8/354792118s.jpg,200,외국도서,Simon & Schuster Books for Young Readers,0.0,0,"애런 레이놀즈,피터 브라운",,9781534465886,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354792118&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354792118&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354792118&biz_cd=
10,354829317,52 Weeks of Scarves,,20220816,27070,24360,10,판매중,740,3,https://bimage.interpark.com/partner/goods_image/9/3/1/7/354829317h.jpg,https://bimage.interpark.com/partner/goods_image/9/3/1/7/354829317s.jpg,200,외국도서,Hardie Grant Books,0.0,0,Laine,,9781743798515,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354829317&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354829317&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354829317&biz_cd=
11,354829785,Rbge,,20220816,14000,11900,15,판매중,360,3,https://bimage.interpark.com/partner/goods_image/9/7/8/5/354829785h.jpg,https://bimage.interpark.com/partner/goods_image/9/7/8/5/354829785s.jpg,200,외국도서,Flame Tree,0.0,0,Flame Tree Publishing,,9781839648960,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354829785&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354829785&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354829785&biz_cd=
12,354693743,Hazel Soan's Art of the Limited Palette,,20220816,33600,26880,20,일시품절,810,3,https://bimage.interpark.com/partner/goods_image/3/7/4/3/354693743h.jpg,https://bimage.interpark.com/partner/goods_image/3/7/4/3/354693743s.jpg,200,외국도서,Batsford,0.0,0,"Soan, Hazel",,9781849947640,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354693743&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354693743&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354693743&biz_cd=
13,354652512,13층 나무집 Treehouse 시리즈 11종 박스 세트 Paperback Collection,,20220812,136000,54400,60,일시품절,1640,3,https://bimage.interpark.com/partner/goods_image/2/5/1/2/354652512h.jpg,https://bimage.interpark.com/partner/goods_image/2/5/1/2/354652512s.jpg,200,외국도서,Macmillan Children's Books,0.0,0,앤디 그리피스,,9781035003778,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354652512&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354652512&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354652512&biz_cd=
14,354819926,Korea Style,,20220809,32900,31260,5,판매중,940,3,https://bimage.interpark.com/partner/goods_image/9/9/2/6/354819926h.jpg,https://bimage.interpark.com/partner/goods_image/9/9/2/6/354819926s.jpg,200,외국도서,Tuttle,0.0,0,"Llewellyn, Clark E.,Iwatate, Marcia,김운수",,9780804855280,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354819926&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354819926&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354819926&biz_cd=
15,354622502,Abandoned in Death,,20220726,12500,10000,20,일시품절,300,3,https://bimage.interpark.com/partner/goods_image/2/5/0/2/354622502h.jpg,https://bimage.interpark.com/partner/goods_image/2/5/0/2/354622502s.jpg,200,외국도서,St Martin's Press,0.0,0,"Robb, J. D.",,9781250846952,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354622502&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354622502&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354622502&biz_cd=
16,354673527,Fantastic Beasts: The Secrets of Dumbledore - The Complete Screenplay 영국판,,20220719,33500,23000,31,일시품절,690,3,https://bimage.interpark.com/partner/goods_image/3/5/2/7/354673527h.jpg,https://bimage.interpark.com/partner/goods_image/3/5/2/7/354673527s.jpg,200,외국도서,"Little, Brown Book Group",0.0,0,"Steve Kloves,조앤 K. 롤링",,9781408717431,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354673527&refererType=8304,http://m.book.interpark.com/view.html?PRD_NO=354673527&SHOP_NO=0000500000&SUB_CATE=2004,http://book.interpark.com/gate/ippgw.jsp?goods_no=354673527&biz_cd=
