,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL
,4,4,키드 스파이,맥 바넷 글 ;이재원 옮김,시공사,2020,9.79E+12,73840,,843,문학 > 영미문학 > 소설,128,https://image.aladin.co.kr/product/19362/97/cover150/89527849790_1.jpg
,5,5,숲속 100층짜리 집,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2021,9.79E+12,74830,,833.6,문학 > 일본문학 > 소설,120,https://image.aladin.co.kr/product/27611/0/cover/8966351417_1.jpg
구로(11170),1,1,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,203,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
,2,2,"(쿠폰가 99,000원) 어스본 리딩 2단계 : Usborne My Reading Library SET ((Book 42권 + MP3 CD 1장 + Book 추가 8권)) - Papetback 50권 + MP3 CD 1장",Usborne (지은이),Usborne,2015,9.78E+12,,,,,187,http://image.aladin.co.kr/product/6877/99/cover/f642434270_1.jpg
,3,2,소음을 모으는 아파트,제성은 글 ;국민지 그림,예림당,2019,9.79E+12,73810,,813.7,문학 > 한국문학 > 소설,187,https://image.aladin.co.kr/product/21723/80/cover/8930270840_1.jpg
,4,4,선물이 툭! :김도아 그림책,쓰고 그린이: 김도아,파란자전거,2021,9.79E+12,77810,,813.7,문학 > 한국문학 > 소설,110,https://image.aladin.co.kr/product/26239/74/cover/k672738382_1.jpg
,5,5,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,8,833.6,문학 > 일본문학 > 소설,107,https://image.aladin.co.kr/product/19874/27/cover/k432635431_1.jpg
금천(11180),1,1,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,2,833.6,문학 > 일본문학 > 소설,92,https://bookthumb-phinf.pstatic.net/cover/113/327/11332741.jpg?type=m1&udate=20161209
,2,2,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,1,833.6,문학 > 일본문학 > 소설,91,http://image.aladin.co.kr/product/8920/23/cover/8937838753_1.jpg
,3,3,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,3,833.6,문학 > 일본문학 > 소설,87,http://image.aladin.co.kr/product/10644/93/cover/8937889714_1.jpg
,4,4,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,10,833.6,문학 > 일본문학 > 소설,83,https://image.aladin.co.kr/product/25801/42/cover/k252736232_1.jpg
,5,5,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,7,833.6,문학 > 일본문학 > 소설,82,https://image.aladin.co.kr/product/17457/14/cover/k792534209_1.jpg
노원(11110),1,1,귀향 [비디오녹화자료],"조정래 감독, 강하나 외 출연",,2016,9.79E+12,,,688.2,예술 > 연극 > 영화,194,
,2,2,아몬드 :손원평 장편소설,지은이: 손원평,창비,2017,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,151,http://image.aladin.co.kr/product/16839/4/cover/k492534773_1.jpg
,3,3,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,1,833.6,문학 > 일본문학 > 소설,120,https://image.aladin.co.kr/product/19610/47/cover/k282635522_1.jpg
,4,4,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,7,833.6,문학 > 일본문학 > 소설,110,https://image.aladin.co.kr/product/17457/14/cover/k792534209_1.jpg
,5,5,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,2,833.6,문학 > 일본문학 > 소설,109,https://image.aladin.co.kr/product/19612/74/cover/k772635522_1.jpg
도봉(11100),1,1,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,201,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
,2,2,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,196,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
,3,3,밝은 밤 :최은영 장편소설,지은이: 최은영,문학동네,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,173,https://image.aladin.co.kr/product/27541/91/cover/8954681174_1.jpg
,4,4,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,1,833.6,문학 > 일본문학 > 소설,169,https://image.aladin.co.kr/product/19610/47/cover/k282635522_1.jpg
,5,5,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,2,813.7,문학 > 한국문학 > 소설,161,https://image.aladin.co.kr/product/27587/47/cover/k962733015_1.jpg
